Facility,Item Type Name,Item SkuCode,EAN,UPC,ISBN,Color,Size,Brand,Category Name,MRP,Open Sale,Inventory,Inventory Blocked,Bad Inventory,Putaway Pending,Pending Inventory Assessment,Return Awaited,Open Purchase,Enabled,Updated,Virtual Inventory
VENDORSKART MUNDKA 1 FACILITY,Autofy Spine Shaped Universal Petrol Tank Sticker Graphics for All Bikes (Black and Silver),VKAMSTICKER0009,1,SDL317953628,Autofy-India,Black and Silver,India,Autofy,Vendorskart_Automotive,399.00,18,0,34,0,0,0,0,0,true,2017-03-28 03:36:28,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Acrylic Mounting Universal Side Mirror Set for All Bikes (Set of 2  Black),VKAMGLASS0005,Set of 2,SDL751053062,Glass Company China,Black,China,Autofy,Vendorskart_Automotive,1299.00,0,25,20,10,0,0,0,0,true,2017-03-28 10:50:20,0
VENDORSKART MUNDKA 1 FACILITY,Motorcycle Handlebar Double Control Switch [RED],VKAMSWITCH0001,1,,Autofy-India,Black,India,Autofy,Vendorskart_Automotive,499.00,0,52,0,0,0,0,0,0,true,2017-03-28 03:36:28,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Motorcycle Motocross Vest Chest Protector Body Armor Guard (Red),VKAMGUARD0004,Set of 2,,Racing-China,Dummy Red,China,Autofy,Vendorskart_Automotive,8999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:28,0
VENDORSKART MUNDKA 1 FACILITY,Autofy 4 Digit Universal Multi Purpose Steel Cable with Black Rubber Coating for Cycles Bikes Helmet Luggage (Black and Orange),VKAMLOCK0008,1,SDL142687735,Security Company China,Black and Orang,China,Autofy,Vendorskart_Automotive,999.00,0,57,0,0,0,0,0,0,true,2017-03-28 03:36:28,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Knee/Shin Guard Black Adjustable Plastic Free Size (Set of 2),VKAMGUARD0005,Set of 2,SDL900272018,Scoyco - China,Black,China,Autofy,Vendorskart_Automotive,6499.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:29,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Habsolite All Purpose Safety Helmet with Strap (Blue),VKAMHELMET0031,1,,Habsolite-Autofy-India,Blue,India,Autofy,Vendorskart_Automotive,999.00,0,3,8,0,0,0,0,0,true,2017-03-28 14:35:17,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Habsolite All Purpose Safety Helmet with Strap (Red),VKAMHELMET0032,1,,Habsolite-Autofy-India,Red,India,Autofy,Vendorskart_Automotive,999.00,0,16,0,0,0,0,0,0,true,2017-03-28 04:17:33,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Habsolite All Purpose Safety Helmet with Strap (Grey),VKAMHELMET0033,1,,Habsolite-Autofy-India,Grey,India,Autofy,Vendorskart_Automotive,999.00,0,10,0,5,0,0,0,0,true,2017-03-28 10:50:20,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Habsolite All Purpose Safety Helmet with Strap (Green),VKAMHELMET0034,1,,Habsolite-Autofy-India,Green,India,Autofy,Vendorskart_Automotive,999.00,0,13,0,3,0,0,0,0,true,2017-03-28 04:17:33,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Habsolite All Purpose Safety Helmet with Strap (Black),VKAMHELMET0035,1,,Habsolite-Autofy-India,Black,India,Autofy,Vendorskart_Automotive,999.00,0,1,0,6,0,0,0,0,true,2017-03-26 04:04:32,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Neon Anti Slip Full Finger All Purpose Gloves (Green and Black  M),VKAMGLOVES0009_M,Set of 2,,Scoyco - China,Green and Black,China,Autofy,Vendorskart_Automotive,5999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:29,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Waterproof All Purpose Gloves (Red & Black  L),VKAMGLOVES0012_L,Set of 2,,Glove Company China,Red & Black,China,Autofy,Vendorskart_Automotive,1999.00,5,0,0,0,0,0,0,0,true,2017-03-28 03:36:29,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Waterproof All Purpose Gloves (Red & Black  XL),VKAMGLOVES0012_XL,Set of 2,,Glove Company China,(Red & Black,China,Autofy,Vendorskart_Automotive,1999.00,28,0,0,0,0,0,0,0,true,2017-03-28 03:36:29,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Waterproof All Purpose Gloves (Red & Black  XXL),VKAMGLOVES0012_XXL,Set of 2,,Glove Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,1999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:30,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Neon Anti Slip Full Finger All Purpose Gloves (Green and Black  L),VKAMGLOVES0009_L,Set of 2,,Scoyco - China,Green and Black,China,Autofy,Vendorskart_Automotive,5999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:30,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Neon Anti Slip Full Finger All Purpose Gloves (Green and Black  XL),VKAMGLOVES0009_XL,Set of 2,,Scoyco - China,Green and Black,China,Autofy,Vendorskart_Automotive,5999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:30,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Neon Anti Slip Full Finger All Purpose Gloves (Green and Black  XXL),VKAMGLOVES0009_XXL,Set of 2,,Scoyco - China,Dummy Red,China,Autofy,Vendorskart_Automotive,5999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:30,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Waterproof All Purpose Gloves (Red & Black  M),VKAMGLOVES0012_M,Set of 2,,Glove Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,1999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:30,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Jaguar Universal Emblem with Fitting for All Bikes (Set of 2  Chrome),VKAMEMBLEM0002,Set of 2,,Steel Company -China,chrome,China,Autofy,Vendorskart_Automotive,599.00,0,39,0,0,0,0,0,0,true,2017-03-28 03:31:11,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Taichi Pre Curved Armour Full Finger Anti Slip Leather Riding Driving Gloves (Black  M),VKAMGLOVES0010_M,Set of 2,,Taichi - China,Dummy Red,China,Autofy,Vendorskart_Automotive,6499.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:31,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Taichi Pre Curved Armour Full Finger Anti Slip Leather Riding Driving Gloves (Black  L),VKAMGLOVES0010_L,Set of 2,,Taichi - China,Black,China,Autofy,Vendorskart_Automotive,6499.00,59,0,0,0,0,0,0,0,true,2017-03-28 03:36:31,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Taichi Pre Curved Armour Full Finger Anti Slip Leather Riding Driving Gloves (Black  XL),VKAMGLOVES0010_XL,Set of 2,,Taichi - China,Dummy Red,China,Autofy,Vendorskart_Automotive,6499.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:31,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Taichi Pre Curved Armour Full Finger Anti Slip Leather Riding Driving Gloves (Black  XXL),VKAMGLOVES0010_XXL,Set of 2,,Taichi - China,Dummy Red,China,Autofy,Vendorskart_Automotive,6499.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:31,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Pre Curved Armour Half Finger Anti Slip All Purpose Gloves (Black  M),VKAMGLOVES0011_M,Set of 2,SDL354219591,Scoyco - China,Black M,China,Autofy,Vendorskart_Automotive,1999.00,18,0,0,0,0,0,0,0,true,2017-03-28 03:36:32,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Pre Curved Armour Half Finger Anti Slip All Purpose Gloves (Black  L),VKAMGLOVES0011_L,Set of 2,SDL371765014,Scoyco - China,Black,China,Autofy,Vendorskart_Automotive,1999.00,8,0,0,0,0,0,0,0,true,2017-03-28 03:36:32,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Pre Curved Armour Half Finger Anti Slip All Purpose Gloves (Black  XL),VKAMGLOVES0011_XL,Set of 2,SDL376463636,Scoyco - China,BLACK,China,Autofy,Vendorskart_Automotive,1999.00,0,0,8,0,0,0,0,0,true,2017-03-28 03:36:32,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Pre Curved Armour Half Finger Anti Slip All Purpose Gloves (Black  XXL),VKAMGLOVES0011_XXL,Set of 2,SDL414151797,Scoyco - China,Black  XXL,China,Autofy,Vendorskart_Automotive,1999.00,15,0,0,0,0,0,0,0,true,2017-03-28 03:36:32,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black  M),VKAMGLOVES0013_M,Set of 2,SDL980467164,Glove Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,6500.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:33,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black  L),VKAMGLOVES0013_L,Set of 2,SDL982047577,Glove Company China,Black,China,Autofy,Vendorskart_Automotive,6500.00,36,0,0,0,0,0,0,0,true,2017-03-28 03:36:33,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black  XL),VKAMGLOVES0013_XL,Set of 2,SDL002425313,Glove Company China,BLACK,China,Autofy,Vendorskart_Automotive,6500.00,6,0,0,0,0,0,0,0,true,2017-03-28 03:36:33,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black  XXL),VKAMGLOVES0013_XXL,Set of 2,SDL074258469,Glove Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,6500.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:33,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (White and Black  M),VKAMGLOVES0014_M,Set of 2,,Glove Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,5999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:34,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (White and Black  L),VKAMGLOVES0014_L,Set of 2,SDL641270708,Glove Company China,White and Black,China,Autofy,Vendorskart_Automotive,5999.00,51,0,0,0,0,0,0,0,true,2017-03-28 03:36:34,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (White and Black  XL),VKAMGLOVES0014_XL,Set of 2,SDL649000529,Glove Company China,White and Black,China,Autofy,Vendorskart_Automotive,5999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:34,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (White and Black  XXL),VKAMGLOVES0014_XXL,Set of 2,,Glove Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,5999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:34,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Komine Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black  M),VKAMGLOVES0015_M,Set of 2,SDL621465738,Komine - China,Black,China,Autofy,Vendorskart_Automotive,6499.00,30,0,0,0,0,0,0,0,true,2017-03-28 03:36:35,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Komine Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black  L),VKAMGLOVES0015_L,Set of 2,SDL624050714,Komine - China,Dummy Red,China,Autofy,Vendorskart_Automotive,6499.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:35,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Komine Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black  XL),VKAMGLOVES0015_XL,Set of 2,SDL535953078,Komine - China,Black,China,Autofy,Vendorskart_Automotive,6499.00,4,0,0,0,0,0,0,0,true,2017-03-28 03:36:35,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Komine Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black  XXL),VKAMGLOVES0015_XXL,Set of 2,SDL548571820,Komine - China,Dummy Red,China,Autofy,Vendorskart_Automotive,6499.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:35,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black and Green  M),VKAMGLOVES0016_M,Set of 2,SDL145565026,Glove Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,6499.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:36,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black and Green  L),VKAMGLOVES0016_L,Set of 2,SDL157083648,Glove Company China,Black and Green,China,Autofy,Vendorskart_Automotive,6499.00,4,0,0,0,0,0,0,0,true,2017-03-28 03:36:36,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black and Green  XL),VKAMGLOVES0016_XL,Set of 2,SDL162344325,Glove Company China,Black and Green,China,Autofy,Vendorskart_Automotive,6499.00,7,0,0,0,0,0,0,0,true,2017-03-28 03:36:36,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pre Curved Armour Anti Slip Full Finger Leather Riding Driving Gloves (Black and Green  XXL),VKAMGLOVES0016_XXL,Set of 2,SDL169714875,Glove Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,6499.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:36,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Anti Slip Full Finger All Purpose Gloves (Yellow and Black  M),VKAMGLOVES0017_M,Set of 2,,Scoyco - China,Dummy Red,China,Autofy,Vendorskart_Automotive,5999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:37,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Anti Slip Full Finger All Purpose Gloves (Yellow and Black  L),VKAMGLOVES0017_L,Set of 2,,Scoyco - China,Dummy Red,China,Autofy,Vendorskart_Automotive,5999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:37,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Anti Slip Full Finger All Purpose Gloves (Yellow and Black  XL),VKAMGLOVES0017_XL,Set of 2,,Scoyco - China,Dummy Red,China,Autofy,Vendorskart_Automotive,5999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:37,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Anti Slip Full Finger All Purpose Gloves (Yellow and Black  XXL),VKAMGLOVES0017_XXL,Set of 2,,Scoyco - China,Dummy Red,China,Autofy,Vendorskart_Automotive,5999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:37,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pro Rider 3 LED with White Ring Fog Light For Mahindra Thar (Set of 2),VKAMLIGHT0055,Set of 2,SDL851410978,Autofy Pro-Rider India,Black And Chrom,India,Autofy,Vendorskart_Automotive,15999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:38,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pro Rider 3 LED with White Ring Universal Fog Light for All Bikes (Set of 2),VKAMLIGHT0056,Set of 2,,Autofy Pro-Rider India,Aluminium Black,India,Autofy,Vendorskart_Automotive,15999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:38,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pro Rider 6 LED 5.75 Inch Headlight for Bajaj Avenger and Harley Davidson (White),VKAMLIGHT0057,1,,Autofy Pro-Rider India,Black,India,Autofy,Vendorskart_Automotive,9999.00,2,0,0,0,0,0,0,0,true,2017-03-28 03:36:38,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pro Rider 7 Inch Headlight with Indicator LED & DRL (Day Time Running Light) for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic & Royal Enfield Bullet Electra,VKAMLIGHT0058,1,,Autofy Pro-Rider India,Black,India,Autofy,Vendorskart_Automotive,19999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:38,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pro Rider 4 LED Drum Shape 7 Inch Headlight for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic & Royal Enfield Bullet Electra and Mahindra Thar (Single Unit),VKAMLIGHT0060,1,,Autofy Pro-Rider India,Chrome,India,Autofy,Vendorskart_Automotive,9999.00,0,0,7,0,0,0,0,0,true,2017-03-28 03:36:39,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pro Rider 4 LED Drum Shape 7 Inch Headlight Rose Gold for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic & Royal Enfield Bullet Electra and Mahindra Thar (Single Unit),VKAMLIGHT0061,1,,Autofy Pro-Rider India,Gold,India,Autofy,Vendorskart_Automotive,9999.00,2,0,0,0,0,0,0,0,true,2017-03-28 03:36:39,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pro Rider 12 LED Devil Eye 7 Inch Headlight with DRL for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic & Royal Enfield Bullet Electra and Mahindra Thar (Single Unit),VKAMLIGHT0062,1,,Autofy Pro-Rider India,chrome,India,Autofy,Vendorskart_Automotive,12999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:39,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pro Rider 4 LED 7 Inch Headlight with DRL (Day Time Running Light) for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic & Royal Enfield Bullet Electra and Mahindra Thar (Single Unit),VKAMLIGHT0063,1,SDL232752827,Autofy Pro-Rider India,Chrom,India,Autofy,Vendorskart_Automotive,15999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:40,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pro Rider USB Fog Light with Universal Fitting for All Bikes (Set of 2),VKAMLIGHT0067,Set of 2,SDL760786880,Autofy Pro-Rider India,Black,India,Autofy,Vendorskart_Automotive,9999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:40,0
VENDORSKART MUNDKA 1 FACILITY,Autofy U3 Universal Fog Projector Light for All Bikes (Black  Set of 2),VKAMLIGHT0069,Set of 2,,LED Company China,Black,China,Autofy,Vendorskart_Automotive,1999.00,0,0,7,0,0,0,0,0,true,2017-03-28 03:36:40,0
VENDORSKART MUNDKA 1 FACILITY,Autofy U3 Universal Fog Projector Light for All Bikes (Chrome  Set of 2),VKAMLIGHT0070,Set of 2,SDL274659899,LED Company China,Chrome,China,Autofy,Vendorskart_Automotive,1999.00,0,2,0,0,0,0,0,0,true,2017-03-28 03:36:40,0
VENDORSKART MUNDKA 1 FACILITY,Autofy U5 Universal Projector Fog Light for All Bikes (Black  Set of 2),VKAMLIGHT0071,Set of 2,SDL584079734,LED Company China,Black,China,Autofy,Vendorskart_Automotive,2599.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:41,0
VENDORSKART MUNDKA 1 FACILITY,Autofy U9 Universal Projector Fog Light for All Bikes (Black  Set of 2),VKAMLIGHT0072,Set of 2,SDL026354404,LED Company China,Black,China,Autofy,Vendorskart_Automotive,3199.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:41,0
VENDORSKART MUNDKA 1 FACILITY,Autofy U9 Universal Projector Fog Light for All Bikes (Golden  Set of 2),VKAMLIGHT0073,Set of 2,,LED Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,3199.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:42,0
VENDORSKART MUNDKA 1 FACILITY,Autofy U9 Universal Projector Fog Light for All Bikes (Grey  Set of 2),VKAMLIGHT0074,Set of 2,,LED Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,3199.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:42,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Aluminium 6 LED Universal Aux Foglight Bar for All Bikes (Black  Set of 2),VKAMLIGHT0075,Set of 2,,LED Company China,Black,China,Autofy,Vendorskart_Automotive,3199.00,0,0,4,0,0,0,0,0,true,2017-03-28 03:36:42,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Round Aluminium Universal Projector Fog Light for All Bikes (Black  Set of 2),VKAMLIGHT0076,Set of 2,SDL035208911,LED Company China,Black,China,Autofy,Vendorskart_Automotive,2599.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:43,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Square Aluminium Universal Projector Fog Light for All Bikes (Black) (Set of 2),VKAMLIGHT0077,Set of 2,SDL738822930,LED Company China,Black,China,Autofy,Vendorskart_Automotive,2599.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:43,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Pro Rider Long Ranger Universal Saddle Bags For All Bikes with Rain Cover (Black  Set of 2),VKAMBAG0012,Set of 2,,Autofy - India,Black,India,Autofy,Vendorskart_Automotive,9999.00,0,3,0,0,0,0,0,0,true,2017-03-28 03:31:11,0
VENDORSKART MUNDKA 1 FACILITY,Autofy AXO Universal All Purpose Biker Bag with Water Pouch (Black),VKAMBAG0013,1,,Autofy - India,Black,India,Autofy,Vendorskart_Automotive,4999.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:44,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Scoyco Universal Expandable Magnetic Tank Bag Convertible Luggage Bagpack for All Bikes (Black),VKAMBAG0014,1,,Scoyco-China,Black,China,Autofy,Vendorskart_Automotive,9499.00,12,0,0,0,0,0,0,0,true,2017-03-28 03:36:44,0
VENDORSKART MUNDKA 1 FACILITY,[Grey-Brown-White-JaipurPrint]Autofy Unisex Printed Lycra Headwrap / Bandana (Grey and Brown  Freesize),VKAMMASK0036,1,,China Fabrics,Brown-White,China,Autofy,Vendorskart_Automotive,299.00,0,9,0,0,0,0,0,0,true,2017-03-28 03:36:44,0
VENDORSKART MUNDKA 1 FACILITY,[Front&SideFaceSkull-Black-White]Autofy Unisex Skull Print Lycra Headwrap / Bandana (Black and White  Freesize),VKAMMASK0037,1,,China Fabrics,Black and White,China,Autofy,Vendorskart_Automotive,299.00,0,10,0,0,0,0,0,0,true,2017-03-28 04:17:33,0
VENDORSKART MUNDKA 1 FACILITY,[MummeryPrint-Black-Grey]Autofy Unisex Mummery Print Lycra Headwrap / Bandana (Black and Grey  Freesize),VKAMMASK0038,1,,China Fabrics,Dummy Red,China,Autofy,Vendorskart_Automotive,299.00,0,80,0,0,0,0,0,0,true,2017-03-28 03:36:45,0
VENDORSKART MUNDKA 1 FACILITY,[AngrySkull-Black-SkyBlue]Autofy Unisex Angry Skull Print Lycra Headwrap / Bandana (Black and Blue Freesize),VKAMMASK0039,1,SDL540223443,China Fabrics,Black and Blue,China,Autofy,Vendorskart_Automotive,299.00,0,9,3,0,0,0,0,0,true,2017-03-28 04:17:34,0
VENDORSKART MUNDKA 1 FACILITY,[DeathFlower-Black-Brown]Autofy Unisex Printed Lycra Headwrap / Bandana (Black and Brown  Freesize),VKAMMASK0040,1,SDL995146667,China Fabrics,Black and Brown,China,Autofy,Vendorskart_Automotive,299.00,0,43,18,0,0,0,0,0,true,2017-03-28 03:36:46,0
VENDORSKART MUNDKA 1 FACILITY,[AlladinCarpet-Blue-White]Autofy Unisex Aladdin Carpet Print Lycra Headwrap / Bandana (Blue and White  Freesize),VKAMMASK0041,1,,China Fabrics,Blue and White,China,Autofy,Vendorskart_Automotive,299.00,121,0,0,0,0,0,0,0,true,2017-03-28 03:36:46,0
VENDORSKART MUNDKA 1 FACILITY,[JawBones-Black-White]Autofy Unisex Jaw Bones Lycra Headwrap / Bandana (Black and White  Freesize),VKAMMASK0042,1,SDL641850950,China Fabrics,Black and White,China,Autofy,Vendorskart_Automotive,299.00,0,193,0,0,0,0,0,0,true,2017-03-28 04:17:34,0
VENDORSKART MUNDKA 1 FACILITY,[BengalLotus-Purple-White]Autofy Unisex Lotus Print Lycra Headwrap / Bandana (Purple and White  Freesize),VKAMMASK0043,1,,China Fabrics,Purple and White,China,Autofy,Vendorskart_Automotive,299.00,36,0,0,0,0,0,0,0,true,2017-03-28 04:17:34,0
VENDORSKART MUNDKA 1 FACILITY,[HoliPrint-Pink-Yellow-Blue]Autofy Unisex Printed Lycra Headwrap / Bandana (Multicolored  Freesize),VKAMMASK0044,1,,China Fabrics,Pink-Yellow-Blue,China,Autofy,Vendorskart_Automotive,299.00,2,0,0,0,0,0,0,0,true,2017-03-28 03:36:47,0
VENDORSKART MUNDKA 1 FACILITY,[AlagePrint-Peech-Green]Autofy Unisex Printed Lycra Headwrap / Bandana (Peech and Green  Freesize),VKAMMASK0045,1,,China Fabrics,Peech and Green,China,Autofy,Vendorskart_Automotive,299.00,0,10,0,0,0,0,0,0,true,2017-03-28 03:36:47,0
VENDORSKART MUNDKA 1 FACILITY,[Skull&Rose-LightBrown]Autofy Unisex Skull and Rose Print Lycra Headwrap / Bandana (Brown  Freesize),VKAMMASK0046,1,,China Fabrics,Brown,China,Autofy,Vendorskart_Automotive,299.00,0,10,0,0,0,0,0,0,true,2017-03-28 03:36:47,0
VENDORSKART MUNDKA 1 FACILITY,[FlowerWildFire-Blue-Black]Autofy Unisex Flower and Wildfire Print Lycra Headwrap / Bandana (Blue and Black  Freesize),VKAMMASK0047,1,,China Fabrics,Blue and Black,China,Autofy,Vendorskart_Automotive,299.00,31,0,0,0,0,0,0,0,true,2017-03-28 03:36:47,0
VENDORSKART MUNDKA 1 FACILITY,[BlueWhiteRing-Pink]Autofy Unisex Circle Print Lycra Headwrap / Bandana (Pink and Blue  Freesize),VKAMMASK0048,1,,China Fabrics,BlueWhiteRing-Pink,China,Autofy,Vendorskart_Automotive,299.00,26,0,0,0,0,0,0,0,true,2017-03-28 03:36:48,0
VENDORSKART MUNDKA 1 FACILITY,[BlueWhiteStars-Pink]Autofy Unisex Star Print Lycra Headwrap / Bandana (Pink and Blue  Freesize),VKAMMASK0049,1,,China Fabrics,Pink and Blue,China,Autofy,Vendorskart_Automotive,299.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:48,0
VENDORSKART MUNDKA 1 FACILITY,[SpiderWeb-Black-Green]Autofy Unisex Spider Print Lycra Headwrap / Bandana (Black and Green  Freesize),VKAMMASK0050,1,,China Fabrics,Black and Green,China,Autofy,Vendorskart_Automotive,299.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:36:48,0
VENDORSKART MUNDKA 1 FACILITY,[SpiderWeb-Black-Pink]Autofy Unisex Spider Print Lycra Headwrap/Bandana(Black&Pink Freesize),VKAMMASK0051,1,SDL642028114,China Fabrics,Black and Pink,China,Autofy,Vendorskart_Automotive,299.00,21,0,0,0,0,0,0,0,true,2017-03-28 10:50:20,0
VENDORSKART MUNDKA 1 FACILITY,[AlladinCarpet-Black-White]Autofy Unisex Aladdin Carpet Print Lycra Headwrap / Bandana (Black and White  Freesize),VKAMMASK0052,1,SDL617292815,China Fabrics,Black and White,China,Autofy,Vendorskart_Automotive,299.00,0,10,8,0,0,0,0,0,true,2017-03-28 04:17:34,0
